Tests
############################################################################################## Test 1 ##############################################################################################
Historical performance | 2025-06-02 -> 2025-09-30
Date           Recs   Wins  Losses  Skipped  Accuracy%   AvgRet%    Invested         PnL
2025-08-26        5      1       4     1957     20.00%    -4.12%       30.00       -1.24
2025-08-27        5      1       4     1964     20.00%    -2.30%       30.00       -0.69
2025-08-28        5      2       3     1962     40.00%    -0.28%       30.00       -0.09
2025-08-29        5      2       3     1958     40.00%     0.01%       30.00        0.00
2025-09-01        5      3       2     1960     60.00%    -0.33%       30.00       -0.10
2025-09-02        5      1       4     1957     20.00%    -1.87%       30.00       -0.56
2025-09-03        5      5       0     1955    100.00%     1.44%       30.00        0.43
2025-09-04        5      2       3     1957     40.00%    -0.76%       30.00       -0.23
2025-09-05        5      2       3     1950     40.00%    -0.02%       30.00       -0.01
2025-09-08        5      1       4     1959     20.00%    -0.27%       30.00       -0.08
2025-09-09        5      1       4     1952     20.00%    -0.21%       30.00       -0.06
2025-09-10        5      1       4     1943     20.00%     0.03%       30.00        0.01
2025-09-11        5      3       2     1952     60.00%     0.67%       30.00        0.20
2025-09-12        5      1       4     1960     20.00%    -0.09%       30.00       -0.03
2025-09-15        5      2       3     1956     40.00%    -0.26%       30.00       -0.08
2025-09-16        5      0       5     1957      0.00%    -1.21%       30.00       -0.36
2025-09-17        5      2       3     1945     40.00%     0.51%       30.00        0.15
2025-09-18        5      2       3     1956     40.00%    -0.66%       30.00       -0.20
2025-09-19        5      2       3     1962     40.00%    -0.05%       30.00       -0.01
2025-09-22        5      1       4     1961     20.00%    -0.41%       30.00       -0.12
2025-09-23        5      0       5     1957      0.00%    -0.99%       30.00       -0.30
2025-09-24        5      2       3     1950     40.00%    -0.29%       30.00       -0.09
2025-09-25        5      3       2     1958     60.00%     0.68%       30.00        0.20
2025-09-26        5      2       3     1957     40.00%     0.19%       30.00        0.06
2025-09-29        5      4       1     1952     80.00%     0.55%       30.00        0.17
2025-09-30        5      2       3     1957     40.00%     0.53%       30.00        0.16

Totals | Considered: 30706 | Recommended: 435 | Wins: 194 | Losses: 241 | Skipped: 170215 | Accuracy: 44.60% | Avg Return: 0.01% | Total Return: 5.88% | Invested: 2610.00 | PnL: 0.35 | ROI: 0.01%

############################################################################################## Test 2 ##############################################################################################
Implemented Dynamic Investment Amount
Historical performance | 2025-04-01 -> 2025-09-30
Date           Recs   Wins  Losses  Skipped  Accuracy%   AvgRet%    Invested         PnL
--------------------------------------------------------------------------------------------------------------
2025-04-01        5      3       2     1886     60.00%     0.02%       24.28        0.00
2025-04-02        5      1       4     1942     20.00%    -0.83%       23.48       -0.18
2025-04-03        5      5       0     1947    100.00%     0.94%       23.88        0.22
2025-04-04        5      2       3     1971     40.00%     0.01%       20.99        0.00
